Category,Name,Designation
Co-Founders and Distinguished Fellows,Nitin Pai,Co-Founder and Director
Co-Founders and Distinguished Fellows,Narayan Ramachandran,Co-Founder
Co-Founders and Distinguished Fellows,Anand Arni,Distinguished Fellow
Co-Founders and Distinguished Fellows,Lt General (Dr) Prakash Menon,Director of the Strategic Studies Programme
Co-Founders and Distinguished Fellows,Air Marshal TD Joseph,Distinguished Fellow
Co-Founders and Distinguished Fellows,Dr Sanjaya Baru,Distinguished Senior Fellow
Co-Founders and Distinguished Fellows,Dr. M. Govinda Rao,Councillor of Takshashila Institution
Co-Founders and Distinguished Fellows,Javeed Ahmad,Adjunct Distinguished Fellow
Fellows and Adjunct Fellows,Pranay Kotasthane,Deputy Director and Chairs HTG Programme
Fellows and Adjunct Fellows,Hema Hattangady,Distinguished Fellow
Fellows and Adjunct Fellows,Shambhavi Naik,Head of Research at Takshashila
Fellows and Adjunct Fellows,Anupam Manur,Assistant Professor at the Takshashila Institution
Fellows and Adjunct Fellows,Aditya Ramanathan,Associate Fellow with the Takshashila Institution
Fellows and Adjunct Fellows,Dr Kajari Kamal,Adjunct Research Fellow
Fellows and Adjunct Fellows,Manoj Kewalramani,Fellow - China Studies at the Takshashila Institution
Fellows and Adjunct Fellows,Mihir Mahajan,Adjunct Fellow at the Takshashila Institution
Fellows and Adjunct Fellows,Sarthak Pradhan,Assistant Professor at the Takshashila Institution
Fellows and Adjunct Fellows,Bharath Reddy,Associate Fellow with the High-Tech Geopolitics Programme
Fellows and Adjunct Fellows,Colonel KPM Das,Adjunct Fellow at the Takshashila Institution
Fellows and Adjunct Fellows,Brigadier Anil Raman,Research Fellow for the Indo-Pacific Studies Programme
Fellows and Adjunct Fellows,Col Vikrant S Shinde,Research Fellow in the Defence Fellowship Programme
Fellows and Adjunct Fellows,Rijesh Panicker,Fellow with the High-Tech Geopolitics Programme
Fellows and Adjunct Fellows,Sridhar Krishna,Senior Scholar at the Takshashila Institution
Fellows and Adjunct Fellows,Dr Y Nithiyanandam,Professor and Head of Takshashila's Geospatial Programme
Fellows and Adjunct Fellows,Yusuf Unjhawala,Adjunct Scholar at the Takshashila Institution
Fellows and Adjunct Fellows,Ameya Naik,Associate Fellow with the Geo Strategy Programme
Fellows and Adjunct Fellows,Jatan Mehta,Adjunct Scholar at the Takshashila Institution
Fellows and Adjunct Fellows,Sanjay Palsamudram,Adjunct Specialist at the Takshashila's Siliconpolitik Project
Programme Managers,Sowmya Prabhakar,Chief Operating Officer (COO)
Programme Managers,Malathi Renati,Head of Policy School
Programme Managers,Anwesha Sen,Assistant Programme Manager
Programme Managers,Leah Govias,Programme Manager
Programme Managers,Astha Rastogi,Programme Manager
Programme Managers,Kavya Rai,Assistant Programme Manager
Programme Managers,Suman Joshi,Staff Programme Manager
Programme Managers,Shreya Ramakrishnan,Staff Programme Manager
Programme Managers,Kripa Koshy,Staff Programme Manager
Programme Managers,Wini Fred Gurung,Communications Manager
Programme Managers,Carl Jaison,Manager (Programme Development)
Programme Managers,Saurabh Todi,NAST Fellowship Manager
Programme Managers,Sourav Mannaraprayil,Communications Manager
Research Analysts,Vanshika Saraf,Research Analyst for the Indo-Pacific Studies Program
Research Analysts,Amit Kumar,Staff Research Analyst for the Indo-Pacific Studies Programme
Research Analysts,Anushka Saxena,Staff Research Analyst for the Indo-Pacific Studies Programme
Research Analysts,Arindam Goswami,Staff Research Analyst for the High-Tech Geopolitics Programme
Research Analysts,Lokendra Sharma,Staff Research Analyst for the High-Tech Geopolitics Programme
Research Analysts,Anisree Suresh,Research Associate in Geoeconomics
Research Analysts,Ashwin Prasad,Staff Research Analyst for the High-Tech Geopolitics Programme
Research Analysts,Aishwaria Sonavane,Research Analyst for Pakistan Studies
Research Analysts,Shobhankita Reddy,Research analyst for the High Tech Geopolitics Programme
Research Analysts,Adya Madhavan,Research analyst for the High Tech Geopolitics Programme
Research Analysts,Bhumika Sevkani,Research Analyst in Indo-Pacific studies program
Research Analysts,Tannmay Kumarr Baid,Junior Adjunct Scholar for the High-Tech Geopolitics Programme
Research Analysts,Abhishek Kadiyala,Research Analyst for the Indo-Pacific Programme
Administrative Staff,Sana Nehal Hashmin,Finance Executive
Administrative Staff,Lakshmi Shashidhar,Assistant Admin Manager
Administrative Staff,Shivakumar Ramesh,Manager
