Name,Bio
Aaratrica Kashyap,"Political and policy analyst. Holds an MA in Politics with International Studies from JNU and a BA from the University of Delhi. Core interests include gender justice, human rights, evolution of technology, election studies, and the impact of AI on democratic institutions."
Anandana Kapur,"Harvard-trained researcher working at the intersection of creative technologies, cultural inclusion & public policy. A Fulbright and MIT OpenDocLab alumna. Work spans AI ethics, inclusive governance and community knowledge systems."
Arpit Tripathi,"PhD scholar at IIT Hyderabad researching security and optimisation for 5G and beyond networks, focusing on private 5G and edge deployments for future enterprise use. Holds Graduate Certificate in Tech Policy from Takshashila Institution."
Bhargavi PBA,"Doctoral candidate in Political Science at the University of Delhi. Research focuses on decolonial theory, technology, and global governance, especially in context of space exploration. Critically engages with dominant epistemologies in science and world politics."
Chetna Anjali,"Gender studies scholar and climate justice researcher working at the intersection of feminist theory, policy, and environmental change. Founder of Gendering Climate. Academic work explores feminist methodologies, digital epistemologies, and the political economy of care."
Debasri Mukherjee,"Senior Scientific Writer II at Novartis. PhD from University of Calcutta. Previously DST-Inspire Faculty Postdoctoral Fellow at NCCS, Pune. Authored multiple peer-reviewed research publications in reputed scientific journals."
Jason Joseph,"Award-winning technology/cybersecurity/risk/business continuity/IT executive with extensive global technical and leadership experience in critical infrastructure/highly regulated sectors. Currently CISO at mPokket. Alumnus of NIT Calicut."
Kashish Parpiani,"Senior Manager (Chairman's Office) at Reliance Industries Limited. Served in research capacities at MEA's Americas Division, ORF, and RSIS-NTU Singapore. Co-author of 'America and the Indo-Pacific - Trump and Beyond' (Routledge, 2022)."
Manav Gudwani,"Pursuing MA in International Relations at South Asian University with focused interest in intersection of technology, national power, and global politics. Examines how emerging technologies shape strategic behaviour, particularly in the Indian context."
Neeraj Gudipati,"Budding Scientist at Conduent Labs, focusing on urban representation, multi-modal mobility planning, and sustainable city optimisation. Founding member of Qen Labs Inc. Research driven by interest in distributional consequences of technology-enabled decision systems."
Nistha Kumari Singh,"Doctoral Candidate and Dr. TMA Pai Fellow at Department of Geopolitics and International Relations, MAHE. Research areas include US-China Strategic Competition, Cybersecurity, and Critical Infrastructure."
Nrusingha Narayan Dey,"Research Scholar at the Department of Security Studies, School of National Security Studies, Central University of Gujarat. Research areas include urban warfare, Autonomous Weapon Systems, Chinese internal politics, and West Asian politics."
Pranav Satyanath,"Leads policy affairs and government relations at Dfy Graviti Technologies. Research interests at intersection of technology and policy. Written reports, essays and op-eds on risk reduction in outer space, international space cooperation and politics of nuclear weapons."
Rajesh Gopal,"Specialises in building resilient information security programs with strong foundation in security testing, digital forensics, risk management, governance, and compliance. Expertise spans cloud security, threat intelligence, cybercrime investigations, SOC and special cybersecurity ops."
Shubham Shukla,"Senior AI/ML Engineer at Siemens Technology. Holds a Bachelor's in Electrical Engineering. Significant experience in robotics and AI R&D, with keen interest in international affairs and geopolitics within the technology domain."
Siddhant Chandra,"Policy Analyst at Swaniti. Transitioned from civil engineering to design & mechanical engineering, then public policy. Holds an MS from Stanford University. Research interests include tech policy, gender and queer policy, climate, education, health & economic policy."
Soumya Kanti Ghosh,"Grants Adviser at DBT/Wellcome Trust India Alliance. PhD in Bioinformatics with expertise in host-pathogen interaction, immunology and computational biology. Former Teach For India Fellow (2010 cohort)."
Yash Khandelwal,"Climate and energy policy professional focusing on power sector decarbonization, industrial decarbonization, energy storage, and green hydrogen. Has supported energy transition policies by building on prior contributions to electric mobility and socio-environmental initiatives."
